,Profile Name,Duration,Title,Country,Type,Hour,Day,Month,Year,Device Category,tconst,titleType,primaryTitle,genres,averageRating,numVotes
10666,Home,0.1888888888888888,Emily In Paris,TH (Thailand),TV Show,14,31,7,2022,Set Top Boxes,,,,,,
10667,Home,0.4072222222222222,Emily In Paris,TH (Thailand),TV Show,14,31,7,2022,Set Top Boxes,,,,,,
10689,Home,0.7,Anatomy Of A Scandal,IN (India),TV Show,12,29,7,2022,Set Top Boxes,,,,,,
10690,Home,0.6566666666666666,Anatomy Of A Scandal,IN (India),TV Show,11,29,7,2022,Set Top Boxes,,,,,,
10691,Home,0.5280555555555555,Anatomy Of A Scandal,IN (India),TV Show,14,28,7,2022,Set Top Boxes,,,,,,
10692,Home,0.1344444444444444,Anatomy Of A Scandal,IN (India),TV Show,14,28,7,2022,Set Top Boxes,,,,,,
10693,Home,0.6933333333333334,Anatomy Of A Scandal,IN (India),TV Show,13,28,7,2022,Set Top Boxes,,,,,,
10694,Home,0.6791666666666667,Anatomy Of A Scandal,IN (India),TV Show,12,28,7,2022,Set Top Boxes,,,,,,
10695,Home,0.1297222222222222,Anatomy Of A Scandal,IN (India),TV Show,12,28,7,2022,Set Top Boxes,,,,,,
10696,Home,0.5863888888888888,Anatomy Of A Scandal,IN (India),TV Show,10,28,7,2022,Set Top Boxes,,,,,,
10697,Home,1.6555555555555554,Knight And Day,TH (Thailand),Movie,13,26,7,2022,Set Top Boxes,,,,,,
10698,Home,0.0863888888888888,Knight And Day,TH (Thailand),Movie,12,26,7,2022,Set Top Boxes,,,,,,
10699,Home,0.6691666666666667,The Wrath Of God,TH (Thailand),Movie,13,24,7,2022,Set Top Boxes,,,,,,
10700,Home,0.3066666666666666,Get Organized With The Home Edit,TH (Thailand),TV Show,7,24,7,2022,Set Top Boxes,,,,,,
10701,Home,0.2405555555555555,The Wrath Of God,TH (Thailand),Movie,7,24,7,2022,Set Top Boxes,,,,,,
10702,Home,0.55,The Wrath Of God,TH (Thailand),Movie,6,24,7,2022,Set Top Boxes,,,,,,
10703,Home,0.3944444444444444,The Woman In The House Across The Street From The Girl In The Window,TH (Thailand),TV Show,15,23,7,2022,Set Top Boxes,,,,,,
10704,Home,0.3563888888888888,The Woman In The House Across The Street From The Girl In The Window,TH (Thailand),TV Show,14,23,7,2022,Set Top Boxes,,,,,,
10705,Home,0.3183333333333333,The Woman In The House Across The Street From The Girl In The Window,TH (Thailand),TV Show,14,23,7,2022,Set Top Boxes,,,,,,
10706,Home,0.3083333333333333,The Woman In The House Across The Street From The Girl In The Window,TH (Thailand),TV Show,14,23,7,2022,Set Top Boxes,,,,,,
10707,Home,0.3830555555555555,The Woman In The House Across The Street From The Girl In The Window,TH (Thailand),TV Show,12,23,7,2022,Set Top Boxes,,,,,,
10708,Home,0.4422222222222222,The Woman In The House Across The Street From The Girl In The Window,TH (Thailand),TV Show,12,23,7,2022,Set Top Boxes,,,,,,
10709,Home,0.4069444444444444,The Woman In The House Across The Street From The Girl In The Window,TH (Thailand),TV Show,11,23,7,2022,Set Top Boxes,,,,,,
10710,Home,0.3455555555555555,The Woman In The House Across The Street From The Girl In The Window,TH (Thailand),TV Show,11,23,7,2022,Set Top Boxes,,,,,,
10737,Home,0.1086111111111111,Man Vs Bee,TH (Thailand),TV Show,14,17,7,2022,Set Top Boxes,,,,,,
10738,Home,0.1619444444444444,Man Vs Bee,TH (Thailand),TV Show,14,17,7,2022,Set Top Boxes,,,,,,
10739,Home,0.15,Man Vs Bee,TH (Thailand),TV Show,12,17,7,2022,Set Top Boxes,,,,,,
10740,Home,0.1941666666666666,Man Vs Bee,TH (Thailand),TV Show,12,17,7,2022,Set Top Boxes,,,,,,
10741,Home,0.1308333333333333,Man Vs Bee,TH (Thailand),TV Show,11,17,7,2022,Set Top Boxes,,,,,,
10742,Home,0.14,Man Vs Bee,TH (Thailand),TV Show,11,17,7,2022,Set Top Boxes,,,,,,
10743,Home,0.1572222222222222,Man Vs Bee,TH (Thailand),TV Show,10,17,7,2022,Set Top Boxes,,,,,,
10744,Home,0.1586111111111111,Man Vs Bee,TH (Thailand),TV Show,10,17,7,2022,Set Top Boxes,,,,,,
10747,Home,0.6083333333333333,Vaashi (Malayalam),TH (Thailand),Movie,7,17,7,2022,Set Top Boxes,,,,,,
10748,Home,0.505,Vaashi (Malayalam),TH (Thailand),Movie,6,17,7,2022,Set Top Boxes,,,,,,
10749,Home,0.4980555555555555,Vaashi (Malayalam),TH (Thailand),Movie,5,17,7,2022,Set Top Boxes,,,,,,
10750,Home,0.2958333333333333,Vaashi (Malayalam),TH (Thailand),Movie,4,17,7,2022,Set Top Boxes,,,,,,
10769,Home,2.1302777777777777,Ante Sundaraniki (Tamil),TH (Thailand),Movie,15,12,7,2022,Set Top Boxes,,,,,,
10770,Home,0.5652777777777778,Ante Sundaraniki (Tamil),TH (Thailand),Movie,13,12,7,2022,Set Top Boxes,,,,,,
